"id","variable","before_date","before_time","before_value","after_date","after_time","after_value","missing_date","imputed_time_str","imputed_value","imputation_method"
"AS14.03","appCat.utilities",2014-04-28,"2014-04-28 08:35:24",7.097,2014-04-30,"2014-04-30 13:30:51",10.203,2014-04-29,"2014-04-29 12:46:40",6.7313,"weighted_knn_time_weighted"
"AS14.03","appCat.utilities",2014-05-03,"2014-05-03 14:33:22",11.342,2014-05-05,"2014-05-05 17:12:35",6.155,2014-05-04,"2014-05-04 16:31:19",10.1466,"weighted_knn_time_weighted"
"AS14.03","circumplex.arousal",2014-05-05,"2014-05-05 09:00:00",-1,2014-05-07,"2014-05-07 08:00:00",-1,2014-05-06,"2014-05-06 16:00:00",-1,"weighted_knn_time_weighted"
"AS14.03","circumplex.valence",2014-05-05,"2014-05-05 09:00:00",1,2014-05-07,"2014-05-07 08:00:00",1,2014-05-06,"2014-05-06 16:00:00",1,"weighted_knn_time_weighted"
"AS14.03","mood",2014-05-05,"2014-05-05 09:00:00",7,2014-05-07,"2014-05-07 08:00:00",8,2014-05-06,"2014-05-06 16:00:00",2,"weighted_knn_time_weighted"
"AS14.05","appCat.builtin",2014-04-28,"2014-04-28 02:44:30",14.125,2014-04-30,"2014-04-30 13:56:18",18.319,2014-04-29,"2014-04-29 23:52:35",8.3024,"weighted_knn_time_weighted"
"AS14.05","appCat.social",2014-04-04,"2014-04-04 09:24:56",119.147,2014-04-06,"2014-04-06 00:50:39",6.036,2014-04-05,"2014-04-05 15:50:20",46.4033,"weighted_knn_time_weighted"
"AS14.05","appCat.social",2014-04-06,"2014-04-06 00:50:39",6.036,2014-04-09,"2014-04-09 19:40:48",7.161,2014-04-07,"2014-04-07 07:50:32",29.4133,"weighted_knn_time_weighted"
"AS14.05","appCat.social",2014-04-06,"2014-04-06 00:50:39",6.036,2014-04-09,"2014-04-09 19:40:48",7.161,2014-04-08,"2014-04-08 07:50:29",28.052,"weighted_knn_incl_day1"
"AS14.05","appCat.unknown",2014-03-27,"2014-03-27 11:20:32",62.528,2014-03-29,"2014-03-29 01:17:56",1.017,2014-03-28,"2014-03-28 17:26:34",13.4713,"weighted_knn_time_weighted"
